EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MaritalStatus,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition,RiskScore,RiskPct,RiskSegment,RiskLevel
614,18,Male,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,1878,0,0,2,3,2,Yes,0.9927,99.3,Flight Risk,Critical (>80%)
622,26,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,2340,1,0,4,1,3,Yes,0.9921,99.2,Flight Risk,Critical (>80%)
1494,24,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Frequently,3172,0,0,1,2,2,Yes,0.9891,98.9,Flight Risk,Critical (>80%)
478,21,Female,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,2174,3,1,2,3,1,Yes,0.9888,98.9,Flight Risk,Critical (>80%)
167,19,Male,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,1675,0,0,3,2,4,Yes,0.9838,98.4,Flight Risk,Critical (>80%)
1273,25,Male,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,1118,1,1,4,3,3,Yes,0.9829,98.3,Flight Risk,Critical (>80%)
1487,29,Female,Sales,Sales Executive,2,Single,No,Travel_Frequently,5765,5,0,2,1,1,Yes,0.9829,98.3,Flight Risk,Critical (>80%)
911,32,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,2795,1,0,4,1,1,Yes,0.9819,98.2,Flight Risk,Critical (>80%)
1624,18,Female,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,1569,0,0,4,4,2,Yes,0.9809,98.1,Flight Risk,Critical (>80%)
959,19,Male,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,2121,1,0,2,4,4,Yes,0.9732,97.3,Flight Risk,Critical (>80%)
1968,53,Male,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,10448,2,2,1,2,1,Yes,0.973,97.3,Flight Risk,Critical (>80%)
1862,32,Male,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,9907,2,2,2,2,3,Yes,0.9728,97.3,Flight Risk,Critical (>80%)
960,20,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2973,1,0,1,3,1,Yes,0.966,96.6,Flight Risk,Critical (>80%)
1108,33,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2313,2,2,2,3,1,Yes,0.9643,96.4,Flight Risk,Critical (>80%)
590,34,Female,Human Resources,Human Resources,3,Divorced,Yes,Travel_Frequently,9950,3,0,1,3,2,Yes,0.9641,96.4,Flight Risk,Critical (>80%)
1758,33,Female,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,8564,0,0,1,2,1,Yes,0.9635,96.3,Flight Risk,Critical (>80%)
235,19,Female,Sales,Sales Representative,1,Single,No,Travel_Frequently,2325,0,0,1,4,3,Yes,0.9632,96.3,Flight Risk,Critical (>80%)
19,28,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,2028,4,0,3,3,3,Yes,0.9631,96.3,Flight Risk,Critical (>80%)
1944,27,Female,Human Resources,Human Resources,1,Married,No,Travel_Frequently,2863,1,0,2,3,1,Yes,0.963,96.3,Flight Risk,Critical (>80%)
1504,28,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Frequently,2561,0,0,1,2,3,Yes,0.96,96.0,Flight Risk,Critical (>80%)
1279,21,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Frequently,2625,2,2,3,1,1,Yes,0.959,95.9,Flight Risk,Critical (>80%)
1780,21,Male,Sales,Sales Representative,1,Single,No,Travel_Rarely,2679,1,1,2,3,2,Yes,0.9583,95.8,Flight Risk,Critical (>80%)
55,26,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2293,1,0,3,2,1,Yes,0.9573,95.7,Flight Risk,Critical (>80%)
1318,40,Male,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,9094,5,1,2,3,4,Yes,0.9549,95.5,Flight Risk,Critical (>80%)
1439,25,Male,Sales,Sales Representative,1,Married,No,Travel_Rarely,4400,3,2,1,3,1,Yes,0.9542,95.4,Flight Risk,Critical (>80%)
485,33,Female,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,2851,1,0,3,3,4,Yes,0.9537,95.4,Flight Risk,Critical (>80%)
64,48,Male,Research & Development,Laboratory Technician,3,Single,Yes,Travel_Rarely,5381,1,0,3,3,1,Yes,0.9516,95.2,Flight Risk,Critical (>80%)
952,25,Male,Sales,Sales Representative,1,Married,Yes,Travel_Rarely,2413,1,0,2,3,3,Yes,0.9507,95.1,Flight Risk,Critical (>80%)
1167,42,Male,Sales,Sales Executive,4,Single,Yes,Travel_Frequently,13758,21,13,1,2,3,Yes,0.9455,94.5,Flight Risk,Critical (>80%)
175,31,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4559,2,2,3,3,2,Yes,0.9447,94.5,Flight Risk,Critical (>80%)
1319,52,Male,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,8446,8,7,2,2,2,Yes,0.9432,94.3,Flight Risk,Critical (>80%)
2021,21,Male,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,2380,2,1,1,3,3,No,0.9429,94.3,Flight Risk,Critical (>80%)
