product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
b07jw9h4j1,"wayona nylon braided usb to lightning fast charging and data sync cable compatible for iphone 13, 12,11, x, 8, 7, 6, 5, ipad air, pro, mini (3 ft pack of 1, grey)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,399.0,1099.0,64,4.2,24269.0,"high compatibility : compatible with iphone 12, 11, x/xsmax/xr ,iphone 8/8 plus,iphone 7/7 plus,iphone 6s/6s plus,iphone 6/6 plus,iphone 5/5s/5c/se,ipad pro,ipad air 1/2,ipad mini 1/2/3,ipod nano7,ipod touch and more apple devices.|fast charge&data sync : it can charge and sync simultaneously at a rapid speed, compatible with any charging adaptor, multi-port charging station or power bank.|durability : durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.|high security level : it is designed to fully protect your device from damaging excessive current.copper core thick+multilayer shielding, anti-interference, protective circuit equipment.|warranty: 12 months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. if you meet any question or problem, please don't hesitate to contact us.","ag3d6o4staqkay2uvgeuv46kn35q,ahmy5cwjmmk5bjrbbsnlyt3onila,ahctc6ulh4xb6yhdy6pch2r772lq,agyhhiernxka6p5t7czlxkvpt7iq,ag4ogofwxjztq2hkyiocoy3kxf2q,aengu523sxmos7jpdtw52pnnvwgq,aeqjhcvtninbs4fktbgqrqtgte5q,afc3ffc5pkff5pma52s3vchoz5fq","manav,adarsh gupta,sundeep,s.sayeed ahmed,jaspreet singh,khaja moin,anand,s.arumugam","r3hxwt0lrp0nmf,r2ajm3lftlzhfo,r6aqjgup6p86,r1kd19vhedv0or,r3c02rmyqmk6fc,r39gqrvbuzbwgy,r2k9edoe15qirj,r3oi7yt648tl8i","satisfied,charging is really fast,value for money,product review,good quality,good product,good product,as of now seems good","looks durable charging is fine toono complains,charging is really fast, good product.,till now satisfied with the quality.,this is a good product . the charging speed is slower than the original iphone cable,good quality, would recommend,https://m.media-amazon.com/images/w/webp_402378-t1/images/i/81---f1zghl._sy88.jpg,product had worked well till date and was having no issue.cable is also sturdy enough...have asked for replacement and company is doing the same...,value for money",https://m.media-amazon.com/images/w/webp_402378-t1/images/i/51usscvhqnl._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/wayona-braided-wn3lg1-syncing-charging/dp/b07jw9h4j1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1
b098ns6pvg,"ambrane unbreakable 60w / 3a fast charging 1.5m braided type c cable for smartphones, tablets, laptops & other type c devices, pd technology, 480mbps data sync, quick charge 3.0 (rct15a, black)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,199.0,349.0,43,4.0,43994.0,"compatible with all type c enabled devices, be it an android smartphone (mi, samsung, oppo, vivo, realme, oneplus, etc), tablet, laptop (macbook, chromebook, etc)|supports quick charging (2.0/3.0)|unbreakable – made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|ideal length – it has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|supports maximum 3a fast charging and 480 mbps data transfer speed|6 months manufacturer warranty from the date of purchase","aecpfyfqvruwc3kgnljiorefp5lq,agyyvpdd7yg7fynbxngxzjt525aq,ahonizu3iciehqigq6r2vfrsbxoq,afphd2crpdzmwmbl7wxrsvyws5ja,aez346gx3hj4o4xnrphcnhxqurmq,aepswfpnecko34puc7i56itgxr6q,ahwvehr5dylvfto2kf3izatfqswq,ah4qt33m55677i7isqoakeqwacyq","ardkn,nirbhay kumar,sagar viswanathan,asp,placeholder,bharani,sonia,niam","rgiqeg07r9hs2,r1smwzq86xin8u,r2j3y1wl29gwde,ryggs0m09s3ky,r17kqrutan5dks,r3aaqgs6hp2quk,r1hdnog6to2cca,r3phkxya5afeou","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit","i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra length👍,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.",https://m.media-amazon.com/images/w/webp_402378-t2/images/i/31zosqqoaol._sy445_sx342_ql70_fmwebp_.jpg,https://www.amazon.in/ambrane-unbreakable-charging-braided-cable/dp/b098ns6pvg/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2
b096msw6ct,"sounce fast phone charging cable & data sync usb cable compatible for iphone 13, 12,11, x, 8, 7, 6, 5, ipad air, pro, mini & ios devices",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,199.0,1899.0,90,3.9,7928.0,"【 fast charger& data sync】-with built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speed.|【 compatibility】-compatible with iphone 13, 12,11, x, 8, 7, 6, 5, ipad air, pro, mini & ios devices.|【 sturdy & durable】-the jacket and enforced connector made of tpe and premium copper, are resistant to repeatedly bending and coiling.|【 ultra high quality】: according to the experimental results, the fishbone design can accept at least 20,000 bending and insertion tests for extra protection and durability. upgraded 3d aluminum connector and exclusive laser welding technology, which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection.|【 good after sales service】-our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidence,and every sale includes a 365-day worry-free service to prove the importance we set on quality.","agu3bbq2v2ddamoakgfawddq6qha,aesfldv2pt363t2aqlwqowz4n3oa,ahtpqrimgud4byr5yihbh3ccgefq,aeuvwxyp5lt7pzllzeneo2nodpbq,ahc7mpw55doo6wncoqva2vhod26a,afdi6frpfbtnbg7baeb7jdjsmkdq,afqkceeekxcohtdg4wun3xpphjqq,ahkuufnmbzidlsspa4fehio2ec7q","kunal,himanshu,viswanath,sai niharka,saqib malik,aashiq,ramu challa,sanjay gupta","r3j3eqq9tzi5zj,r3e7wbgk7id0kv,rwu79xkq6i1qf,r25x4tbmpy91lx,r27ok7g99vk0tr,r207cydchjjtcj,r3pcu8xmu173bt,r1imondowrnu5v","good speed for earlier versions,good product,working good,good for the price,good,worth for money,working nice,it's a really nice product","not quite durable and sturdy,https://m.media-amazon.com/images/w/webp_402378-t1/images/i/71riggrbucl._sy88.jpg,working good,https://m.media-amazon.com/images/w/webp_402378-t1/images/i/61bkp9yo6wl._sy88.jpg,product,very nice product,working well,it's a really nice product",https://m.media-amazon.com/images/w/webp_402378-t1/images/i/31ivnjznmdl._sy445_sx342_ql70_fmwebp_.jpg,https://www.amazon.in/sounce-iphone-charging-compatible-devices/dp/b096msw6ct/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3
b08hdj86nz,"boat deuce usb 300 2 in 1 type-c & micro usb stress resistant, tangle-free, sturdy cable with 3a fast charging & 480mbps data transmission, 10000+ bends lifespan and extended 1.5m length(martian red)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,329.0,699.0,53,4.2,94363.0,"the boat deuce usb 300 2 in 1 cable is compatible with smartphones, tablets, pc peripherals, bluetooth speakers, power banks and all other devices with type-c as well as micro usb port|it ensures 3a fast charging and data transmissions with rapid sync at 480 mbps|the premium nylon braided skin makes it sturdy and invincible against external damage|its aluminium alloy shell housing makes it last longer with 10000+ bends lifespan with extended frame protection for strain relief|the resilient and flexible design offers a tangle free experience seamlessly|deuce usb 300 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience|2 years warranty from the date of purchase","aewazdzzjlquyvovgbeukslxhq5a,ag5htsfrre6nl3m5sgcuqbp7ysca,ah725st5nw2y4jzpkuntijcuk2ba,ahv3txifcjpms4d5jatceur266mq,agwigdemfiiuaoxyy2qatnbsugha,afstslquv4evexwkbolefhl2h5yq,agakdnbhy2fkx7i4acrgilu7ql7a,afnwjuwjrhcc6hn52kmg5akzy37q","omkar dhale,jd,hemalatha,ajwadh a.,amar singh chouhan,ravi siddan,himanshu goel,udaykumar","r3eeuzkkk9j36i,r3hjvyclyoy554,redecaz7ampqc,r1clh2ulivg5u3,r2dmkibgfkbd6r,rc89b5iajutr5,r3b3ddon5fh8ds,r13waejdi5rs36","good product,good one,nice,really nice product,very first time change,good,fine product but could be better,very nice it's charging like jet","good product,long wire,charges good,nice,i bought this cable for rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,good,ok,i had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,i like this product",https://m.media-amazon.com/images/i/41v5ftewpkl._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/deuce-300-resistant-tangle-free-transmission/dp/b08hdj86nz/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4
b08cf3b7n1,"portronics konnect l 1.2m fast charging 3a 8 pin usb cable with charge & sync function for iphone, ipad (grey)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,154.0,399.0,61,4.2,16905.0,"[charge & sync function]- this cable comes with charging & data sync function|[high quality material]- tpe + nylon material to make sure that the life of the cable is enhanced significantly|[long cord]- the cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[more durable]-this cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[universal compatibility]- compatible with all devices like iphone xs, x, xr, 8, 7, 6s, 6, 5s, ipad pro, ipad mini and ipad air","ae3q6ksuk5p75d5hfyhcraolodsa,afugifh5zafxrdszhm4qb2kpkfuq,afk4njolfsjgwlojiuiarojf6yva,afuotyrfuxvpebgixvzz7dr3czua,afdlrsxkdz6u3u3kd46sqlfgzqra,ah5vlm66sik7j3irg4ny7xvoq55a,ae3mqnnhhluhxurl5s7iar7jtgnq,afseofzy67myc7uaju264z5nftla","rahuls6099,swasat borah,ajay wadke,pranali,rvk,bhargav,durai vignesh,amazon customer","r1bp4l2hh9tfup,r16pvjexkv6qzs,r2updb81n66t4p,r3kk4gt934st3i,rcfhmwusbijo,rdo7dacxmaj84,r3a6mezl3ly66z,r1esiekpgaya29","as good as original,decent,good one for secondary use,best quality,good,amazing product at a mind blowing price!,nice quality,good product","bought this instead of original apple, does the work for 150rs, not as fast as apple charger but its a good option if you want cheap and good product, bought it for ipad pro 10.5 and it's working flawlessly, build quality is ok, its not like i am gonna hang my clothes on it and i want a very strong cable, even a braided cable stop working after a year, i have used both anker and apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.update------------------------------------pin has stopped charging from one side, now i have to slip the pin to charge from other side, but i will update and let know for how long does it work,,it’s good. not sure about durability as the pin area feels a bit fragile,does not support apple carplayso was little disappointed about thatother than that cable is made up of very good quality,best to buy,100% not fathful,writing this review post 10 months and 3 orders of the same product.honestly portronics konnect l lightning cable works like magic with the original apple charging brick.seeing the price of the cable i initially hesitated buying as it was as low as ₹99/- with the offers and so i wasn’t sure if it would work well with my iphone 12 or whether it would impact my iphone’s battery health because all the other lightning cable brands were costing over ₹350/- like wayona, amazon basics, etc.earlier i was using wayona brand lightning cable with eventually frayed and stopped working.charging speed:charges my iphone fast enough almost similar compared to the original cable level when used with 12w original apple power adapter.quality and durability:great quality braided cable and doesn’t tangle easily and can withstand day-to-day usage.l-shaped pin:this is very innovative by portronics and it makes sure the cable doesn’t get damaged even if used while charging.carplay and data sync:works smoothly with carplay and syncs data effortlessly.ps: i have used this cable only with the original apple charging brick and extremely satisfied with its performance.,better than i expect the product i like that quality and i plan to buy same type cable come with usb c to lighting cable for emergency purpose that much i love this cable. buy for this cable only emergency uses only since good one,good product and value for money",https://m.media-amazon.com/images/w/webp_402378-t2/images/i/31vznhhqifl._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/portronics-konnect-por-1080-charging-function/dp/b08cf3b7n1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5
b08y1tfsp6,"ptron solero tb301 3a type-c data and fast charging cable, made in india, 480mbps data sync, strong and durable 1.5-meter nylon braided usb cable for type-c devices for charging adapter (black)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,149.0,1000.0,85,3.9,24871.0,"fast charging & data sync: solero tb301 type-c cable supports fast charge up to 5v/3a for devices and data syncing speed up to 480mbps.|universal compatibility: this usb charging cable connects usb type-c devices with standard usb devices like laptops, hard drives, power banks, wall and car chargers, etc..connector one: reversible type c|connector two: usb a type|rough & tough type-c cable: charging cable with a double-braided exterior, premium aramid fiber core and metal plugs. it has passed 10,000 bending tests and can easily withstand daily use.|extended length: 1.5-meter long c-type cable uses nylon material to protect the wire and avoid knots.|perfect fit connectors: ptron soler usb-c has passed the 5kg load test, swing test, 5000+ times connect & disconnect to ensure that there are no loose connections.","aeq2ymxszweohk2ehtnlos56ytzq,agrvinwecny7323cwfxzyyizoftq,ahbat6vloxwgydl57khcnclpxaka,af7ndy2h6jvytsqozp76gcatq34q,afv7za733zlme4knlzpmpcbunppa,ahfaapsy2mj5hyou2vqdj7aqy4nq,ah2wgv2pebuticrpbeevkf24g5la,aep4mk3ekobdktgpjtrn5rbdioda","jayesh,rajesh k.,soopy,amazon customer,aman,shankar,dinesh,chitra,ajaybabu.o.m","r7s8annsdpr40,r3clzflhvju26p,rff7u7mpqfugr,r1mv1nkc23dwpi,r11d3u0v2xkdkf,r18mp1klue18pc,rwgjnveh5zqme,r1xn72fu6q37ih","it's pretty good,average quality,very good and useful usb cable,good usb cable. my experience was very good it is long lasting,good,nice product and useful,-,sturdy but does not support 33w charging","it's a good product.,like,very good item strong and useful usb cablevalue for moneythanks to amazon and producer,https://m.media-amazon.com/images/i/51112zre-1l._sy88.jpg,good,nice product and useful product,-,sturdy but does not support 33w charging",https://m.media-amazon.com/images/i/31wopjcsxll._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/solero-tb301-charging-480mbps-1-5-meter/dp/b08y1tfsp6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6
b08wrwpm22,"boat micro usb 55 tangle-free, sturdy micro usb cable with 3a fast charging & 480mbps data transmission (black)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,176.63,499.0,65,4.1,15188.0,"it ensures high speed transmission and charging by offering 3a fast charging and data transmissions with rapid sync at 480 mbps|the braided skin makes it durable and invincible against external damage so you can have an absolute hassle-free & tangle free experience|its durable pvc housing and the flexible design makes it last 6 times longer than other cables|usb cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience for superior charging & data transfer tasks|the compact and smooth aluminium connector fits most cases seamlessly and resists corrosion for signal purity|micro usb 55 cable offers universal compatibility as it is compatible with most android smartphones, tablets, pc peripherals, bluetooth speakers, power banks, game consoles & all micro-usb enabled devices|2 years warranty from the date of purchase","ag7c6daadctrqjg2brs3rikdt52q,afu7bompvj7q3tta4g67rastgyiq,aer5zgixxvyg3awztrzt7m2bycea,ahe76xqsolgop5zektiw6kupdwbq,agxtmb2xhzbewz2uix7odz4xtu6q,ahnm2xvu745edpnguoag74ptsnra,ah5rwq4s72ivlzd6o75opcfivdxq,ag322tykvplpbdxe7abeuk5qtalq","vivek kumar,amazon customer,sarthak,chiranjeevi,v v giri kumar,rajnandini,akshay talla,sudhanshu chaubey","r8e73k2kwjrds,rsd0jtiiwqql8,r64crste9slw1,r2frtniiufje1f,rwgnx3w7uoj7w,r32tyhhodhtf5d,rql9zmquty7p2,r280xj5vzuboxv","long durable.,good,does not charge lenovo m8 tab,best charging cable,good,boat,product was good,1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।","build quality is good and it is comes with 2 year warranty.,good product,bought it for charging my mobile & tab but it doesn't work for lenovo m8 tab,guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit,good,nice,good quality,1.5एम का डाटा केबल मेरे लिए बहुत ही लाभदायक है ।  मैं इस केबल को लाइन में चार्ज करते समय फोन बहुत आराम से उपयोग  कर पा रहा हु । आप इस केबल से 15watt का  चार्जर उसे कर सकते है (इससे जड़ा नही) । लोकल बाजार में इसका दाम 150 है ,  अमेजन पे ये केबल मुझे 67 में मिला । गर्व से कहो हम हिंदू है , जय हिंद जय भारत ,",https://m.media-amazon.com/images/w/webp_402378-t2/images/i/41jlwezpa5l._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/boat-micro-usb-tangle-free-transmission/dp/b08wrwpm22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8
b08ddrgwtj,mi usb type-c cable smartphone (black),computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,229.0,299.0,23,4.3,30411.0,1m long type-c usb cable|sturdy and durable. with usb cable you can transfer data with speeds of upto 480 mbps|upto 3a output|6months warranty|sturdy and durable. with usb cable you can transfer data with speeds of upto 480 mbps|6months warranty|up to 3a output,"ahw6e5lq2bdyoivlajgdh45j5v5q,af74rsgchpzitvfszn76k6gkpica,ahdd7znb47qa2jlyu53hd4ml3vnq,ahv3elgdsowbyuqlxspdcshbqrhq,aeju4l3zm2gtilsjzzsnsf6vuoia,afvd66vqmshpdt3a6hbbbgkrxbza,aelkhqxvssg6nhxlfjllnefrqquq,agysmac6v6rfjjohg2firpoz6csq","pavan a h,jayesh bagad,shridhar,rajendran,karuppu k,akshay wani,abbimaniu singh,vishal h badshe","r2x090d1yhackr,r32zcih9afnj60,r3n57evvg0ehaf,r3qwle8jhrokc1,r2vtsdooutsq5x,r3e6fz75q074kh,r1sybqltpfcw20,ryqt96j8hpixe","worth for money - suitable for android auto,good product,length,nice,original,very good quay cable support fast charging.,original mi cable for charging upto 33 watt,i am veri happy with this product as it provide turbo charging.","worth for money - suitable for android auto... my purpose served in car....got it for rs.150,everything is okay. but packaging is not good feeling like seller gave is used cable.,good product,good product but cost is more.,original cable,i bought this cable at 129. using this cable for android auto in my car. perfectly works without any glitch.,original mi cable. will charge upto 33 watts. got it for rs 150.  i have 67 watt charger and i want a cable for my car so i went for it. i checked the performance with battery charging app. the charging speed is exactly half of my 67 watt original cable. go for it.,it provided me turbo charging. i recommend for all redmi note 10s mobile phones. as it provide turbo charging. i am veri happy with this product.",https://m.media-amazon.com/images/i/31xo-wfgggl._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/mi-mtcy001in-usb-type-c-cable/dp/b08ddrgwtj/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9
b008ifxqfu,"tp-link usb wifi adapter for pc(tl-wn725n), n150 wireless network adapter for desktop - nano size wifi dongle compatible with windows 11/10/7/8/8.1/xp/ mac os 10.9-10.15 linux kernel 2.6.18-4.4.3",computers&accessories|networkingdevices|networkadapters|wirelessusbadapters,499.0,999.0,50,4.2,179691.0,"usb wifi adapter —— speedy wireless transmission at up to 150mbps ideal for video streaming or internet calls|mini design —— sleek miniature design so small that once plugged in, can be left in a laptop’s usb port|advanced security —— supports 64/128 wep, wpa, pa2/wpa-psk/wpa2-psk(tkip/aes)|compatibility —— windows 11/10/8.1/8/7/xp, mac os 10.15 and earlier, linux|easy setup —— connect in no time with easy setup utility in 14 languages|in an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. we will require brand proof of issue to process replacement request","agv3iefanzckecfgum42mrh5fnoa,aebo7nwcnxkt4aesan443hqh35fq,ae7gd3vrryqeahdr7fxjir23inya,ahpaw24bi5x2gcx5m2lhi72vsjjq,ae2vxy4cfo36mdsimpg43xhnf4ga,ahhqekunvetaln7dtrhuq2wawekq,afmiftntud5pihgonwotrmmz5eba,ahojbizvviifjkrrey4b6esva4ka","azhar juman,anirudh sood,hari krishnan ps,akash jindal,pradeep,rajesh,divya kothari,abhijit","r1lw6nwsvtvz2h,r3vr5wfkus15c5,r2f6gc79oywukq,r3qz19mecgwg9a,r2mpu42myk7gpo,r33dvxfb4vypzz,r1sq7ogfr4jrur,r1s5f9qi0m1vbz","works on linux for me. get the model with antenna.,does what it say but other brands available at lesser price,easy handle,great product,perfect working,speed is perfect,great design, build, connectivity range, packaging and other features but no linux support since v2,very good","i use this to connect an old pc to internet. i tried lubuntu 20 and ubuntu 22, it worked out of the box in both, didn't have to do any setup. there's an extender cable so you can place this in a comfortable place. get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.,the wifi dongle is a simple plug & play device, will start catching available networks right after you plug it into your usb port, no additional installations/ softwares requires. signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing, hence a star less.,pros:*easy to use & portable*can be connected to mobile hotspot and used in pc( budget friendly)*less installation process*no heating issues & good coverage*best alternative for usb tethering (phone's battery may get damaged for long term run with tethering)cons:*internet connection speed varies at times, also depends on your modem or cellular connection*issues occur while installing via cd, which is available along with the product( installation driver can be downloaded from tp-link site)*needed to reconnect the adapter every time system is turned on*will not work if your software has some issues, so encountered any just update your system(worked for me)*support center is worse, calls are unattended most of the times or just visit nearby storeconclusion:brought this @499/-ideal for users who don't need very high speed internet usage,a good alternative for usb tethering and are on budge(1080p youtube videos can be easily played with this without any interruptions),wifi connectivity is a great good result for me. however, some jitter problems did exist.,this is perfect device to connect wifi. go for it.,this wifi adopter is good working,(pictures attached)size/design:  ★ ★ ★ ★ ★build quality: ★ ★ ★ ★ ★packaging:  ★ ★ ★ ★ ★software:  ★ ★ ★ ★speed:  ★ ★ ★ ★ ★connectivity:  ★ ★ ★ ★ ★experience:  ★ ★ ★ ★ ★warranty:  ★ ★ ★ ★ ★size and design:the best part about this is that it is very compact in size and very sober and elegant in design. this is a big plus as it is easy plug in and use, add to it the good sober design.build quality:the build quality is undoubtedly superb. just no qualms about that, at all. when held, it doesnt give off that cheap and flimsy product-like feeling. it is good sturdy with its build quality.packaging:this part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. this ensures that i as a customer have received something not damaged internally already.software:this is actually good but not great part with the product.the good part is that a cd has been provided with it along with a manual.the not great part is that no linux support has been given from version 2 onwards. this is bad, really.speed:it easily supports net speeds upto 300 mbps. practically speaking, i have tested it at my home and it easily supports net speed of over 100-150 mbps without a sigh.on testing i found that it did connect to 5ghz network, without any issue.connectivity:please mark its not feet its metres. multiply metres x 3 to get the distance in feet.it easily connects to my laptop or phone from 7 metres across one room. so thats 21 feet. i mean even our old bluetooth used to connect to about 15 ft.so 20-25 feet is not at all an issue with this. this is the big plus i found with the product.experience:from this point of view, so far except the linux non-compatibility issue, i found no other flaws with this product.so overall its a great product.warranty:its 3 years so i am assured that atleast for 3 years i am tension-free and not just 1 year, contrary to most electronic items today that only provide 1 year warranty with their items.,best adapter i have bought ever. works nicely seemless connectivity",https://m.media-amazon.com/images/w/webp_402378-t2/images/i/31e6elwryml._sx300_sy300_ql70_fmwebp_.jpg,https://www.amazon.in/tp-link-tl-wn725n-150mbps-wireless-adapter/dp/b008ifxqfu/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10
b082lzgk39,"ambrane unbreakable 60w / 3a fast charging 1.5m braided micro usb cable for smartphones, tablets, laptops & other micro usb devices, 480mbps data sync, quick charge 3.0 (rcm15, black)",computers&accessories|accessories&peripherals|cables&accessories|cables|usbcables,199.0,299.0,33,4.0,43994.0,"universal compatibility – it is compatible with all micro usb enabled devices, be it an android smartphone, tablet, pc peripheral or any other micro usb compatible device|unbreakable – made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|ideal length – it has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|supports maximum 3a fast charging and 480 mbps data transfer speed|6 months manufacturer warranty from the date of purchase.","aecpfyfqvruwc3kgnljiorefp5lq,agyyvpdd7yg7fynbxngxzjt525aq,ahonizu3iciehqigq6r2vfrsbxoq,afphd2crpdzmwmbl7wxrsvyws5ja,aez346gx3hj4o4xnrphcnhxqurmq,aepswfpnecko34puc7i56itgxr6q,ahwvehr5dylvfto2kf3izatfqswq,ah4qt33m55677i7isqoakeqwacyq","ardkn,nirbhay kumar,sagar viswanathan,asp,placeholder,bharani,sonia,niam","rgiqeg07r9hs2,r1smwzq86xin8u,r2j3y1wl29gwde,ryggs0m09s3ky,r17kqrutan5dks,r3aaqgs6hp2quk,r1hdnog6to2cca,r3phkxya5afeou","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit","i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra length👍,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.",https://m.media-amazon.com/images/w/webp_402378-t2/images/i/31kj3q4sepl._sy445_sx342_ql70_fmwebp_.jpg,https://www.amazon.in/ambrane-unbreakable-charging-braided-android/dp/b082lzgk39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11
